term,Overall,MARD,MOD,SIDD,SIRD,model
(Intercept),"0 (0, 9.28267414621346e+62)","0.01 (0, 0.01)","0 (0, 0)","0 (0, 0.01)","0 (0, 0)",m1
studycardia,"0.15 (0, 1.07429522820145e+118)","0.16 (0.13, 0.22)","2.12 (1.6, 2.8)","0.18 (0.1, 0.34)","0.3 (0.1, 0.91)",m1
studydppos,"25938994536.24 (0, 7.38185876762618e+86)","1.54 (1.41, 1.69)","37.18 (28.87, 47.88)","0.17 (0.1, 0.3)","13.76 (8.55, 22.14)",m1
studyjhs,"10134000830.71 (0, 2.88420080667961e+86)","0.57 (0.46, 0.7)","8.5 (6.33, 11.41)","0.58 (0.31, 1.07)","0.86 (0.26, 2.83)",m1
studymesa,"18436246028.48 (0, 5.24693213907561e+86)","0.26 (0.22, 0.31)","3.08 (2.16, 4.39)","0.73 (0.42, 1.29)","100.04 (62.23, 160.83)",m1
age,"0.96 (0.96, 0.97)","1.03 (1.03, 1.04)","0.91 (0.9, 0.91)","0.93 (0.91, 0.94)","0.98 (0.97, 0.99)",m1
female1,"0.88 (0.83, 0.93)","0.91 (0.86, 0.97)","1.01 (0.94, 1.08)","0.38 (0.29, 0.5)","0.78 (0.69, 0.87)",m1
raceNH Black,"1.08 (0.99, 1.18)","1.21 (1.07, 1.37)","1.59 (1.42, 1.79)","0.29 (0.18, 0.47)","0.79 (0.68, 0.93)",m1
raceNH Other,"1 (0.87, 1.15)","1.38 (1.15, 1.65)","1.14 (0.95, 1.37)","0 (0, 6.6340645858809e+238)","0.86 (0.57, 1.29)",m1
raceNH White,"1.02 (0.94, 1.09)","0.92 (0.83, 1.03)","1.14 (1.03, 1.26)","0.11 (0.06, 0.18)","0.78 (0.67, 0.89)",m1
raceOther,"1.11 (0.92, 1.35)","1.9 (1.42, 2.54)","0.74 (0.29, 1.91)","0.24 (0.09, 0.69)","1.01 (0.79, 1.28)",m1
bmi,"1.01 (1.01, 1.02)","0.95 (0.94, 0.95)","1.08 (1.07, 1.08)","1.03 (1.01, 1.06)","1.05 (1.04, 1.06)",m1
hba1c,"3.54 (3.31, 3.77)","1.62 (1.53, 1.73)","1.76 (1.65, 1.88)","2.39 (2.06, 2.77)","1.47 (1.33, 1.63)",m1
homa2b,"0.98 (0.98, 0.99)","0.99 (0.99, 0.99)","0.99 (0.99, 0.99)","0.99 (0.99, 1)","0.99 (0.99, 1)",m1
homa2ir,"1.84 (1.78, 1.91)","1.34 (1.29, 1.4)","1.58 (1.52, 1.65)","1.28 (1.14, 1.44)","1.56 (1.49, 1.64)",m1
ldlc,"1 (1, 1)","1 (1, 1)","1 (1, 1)","1 (0.99, 1)","1 (1, 1)",m1
sbp,"1.01 (1.01, 1.01)","1 (1, 1.01)","1 (1, 1.01)","1.01 (1, 1.02)","1.01 (1.01, 1.01)",m1
egfr_ckdepi_2021,"1 (1, 1)","1 (1, 1)","1 (1, 1.01)","1 (1, 1.01)","0.99 (0.99, 1)",m1
(Intercept),"0 (0, 9.28267414621346e+62)","0.01 (0, 0.01)","0 (0, 0)","0 (0, 0.01)","0 (0, 0)",m2
studycardia,"0.15 (0, 1.07429522820145e+118)","0.16 (0.13, 0.22)","2.12 (1.6, 2.8)","0.18 (0.1, 0.34)","0.3 (0.1, 0.91)",m2
studydppos,"25938994536.24 (0, 7.38185876762618e+86)","1.54 (1.41, 1.69)","37.18 (28.87, 47.88)","0.17 (0.1, 0.3)","13.76 (8.55, 22.14)",m2
studyjhs,"10134000830.71 (0, 2.88420080667961e+86)","0.57 (0.46, 0.7)","8.5 (6.33, 11.41)","0.58 (0.31, 1.07)","0.86 (0.26, 2.83)",m2
studymesa,"18436246028.48 (0, 5.24693213907561e+86)","0.26 (0.22, 0.31)","3.08 (2.16, 4.39)","0.73 (0.42, 1.29)","100.04 (62.23, 160.83)",m2
